time	V(audio_out)
3.271282956144254e-003	3.471174e+000
3.272701008004447e-003	3.468004e+000
3.274230751995973e-003	3.466699e+000
3.276213896607524e-003	3.467995e+000
3.278475871063525e-003	3.473976e+000
3.282142505436016e-003	3.494261e+000
3.287025317936016e-003	3.541774e+000
3.291908130436016e-003	3.618963e+000
3.295443241268328e-003	3.709491e+000
3.298877026824432e-003	3.851558e+000
3.302548153852855e-003	4.079215e+000
3.305583513180083e-003	4.338477e+000
3.308955779135680e-003	4.695462e+000
3.311918515994202e-003	5.044531e+000
3.313432528868625e-003	5.225701e+000
3.314352628220403e-003	5.327917e+000
3.314871142544293e-003	5.378031e+000
3.315199310131307e-003	5.404544e+000
3.315645493362903e-003	5.433353e+000
3.316321145403200e-003	5.466222e+000
3.316967289564643e-003	5.487947e+000
3.317626513642400e-003	5.502299e+000
3.318221077430210e-003	5.510594e+000
3.319134939885664e-003	5.518785e+000
3.320030005864952e-003	5.524052e+000
3.321276496664027e-003	5.528718e+000
3.322650655133292e-003	5.531847e+000
3.324200571686994e-003	5.533200e+000
3.326202656120623e-003	5.531939e+000
3.328457588313728e-003	5.526020e+000
3.332113006735990e-003	5.505873e+000
3.336995819235990e-003	5.458516e+000
3.341878631735990e-003	5.381709e+000
3.345379682845949e-003	5.292619e+000
3.348812681385510e-003	5.151666e+000
3.352475541305745e-003	4.926460e+000
3.355468939219730e-003	4.672666e+000
3.358825599898992e-003	4.318786e+000
3.362019529349539e-003	3.943596e+000
3.363529905751675e-003	3.764392e+000
3.364504391681294e-003	3.657953e+000
3.364963468518829e-003	3.614951e+000
3.365307458719738e-003	3.588328e+000
3.365749896140147e-003	3.561058e+000
3.366419005960239e-003	3.529844e+000
3.366963212635446e-003	3.511901e+000
3.367548841320546e-003	3.499292e+000
3.368345048483943e-003	3.488136e+000
3.369119137680190e-003	3.481208e+000
3.370170139068383e-003	3.475229e+000
3.371223444865881e-003	3.471349e+000
3.372837457625299e-003	3.467882e+000
3.374437753723937e-003	3.466636e+000
3.376290950002774e-003	3.468059e+000
3.378601188664363e-003	3.474471e+000
3.382344624102592e-003	3.495723e+000
3.387227436602592e-003	3.544334e+000
3.392110249102592e-003	3.622987e+000
3.395545922850451e-003	3.712662e+000
3.399008320594481e-003	3.858220e+000
3.402653219014151e-003	4.087094e+000
3.405700383760195e-003	4.349772e+000
3.409064806058371e-003	4.707435e+000
3.411804908278244e-003	5.031157e+000
3.413308069951839e-003	5.212440e+000
3.414194670122664e-003	5.312268e+000
3.414828318951337e-003	5.374888e+000
3.415147130894186e-003	5.401226e+000
3.415620916519101e-003	5.432262e+000
3.416290194703049e-003	5.465326e+000
3.416931367195272e-003	5.487395e+000
3.417498068874605e-003	5.500260e+000
3.418093031692427e-003	5.509090e+000
3.418931351876845e-003	5.517251e+000
3.419876031574989e-003	5.523273e+000
3.421001000843917e-003	5.527875e+000
3.422388020981757e-003	5.531244e+000
3.424356710527744e-003	5.533113e+000
3.426260791178298e-003	5.531897e+000
3.428552141350609e-003	5.525655e+000
3.432265534377417e-003	5.504782e+000
3.437148346877417e-003	5.456600e+000
3.442031159377417e-003	5.378211e+000
3.445590737242898e-003	5.285201e+000
3.449076789180771e-003	5.137854e+000
3.452732139196850e-003	4.906322e+000
3.455824616335337e-003	4.637630e+000
3.459205399027842e-003	4.276648e+000
3.461729707459581e-003	3.977629e+000
3.463228920784104e-003	3.795951e+000
3.464097992104756e-003	3.697563e+000
3.464838952306942e-003	3.623836e+000
3.465155606980521e-003	3.597690e+000
3.465658642003922e-003	3.564942e+000
3.466249966582190e-003	3.535350e+000
3.466775613302347e-003	3.516587e+000
3.467362241825381e-003	3.502404e+000
3.468034778352234e-003	3.491695e+000
3.468897067713830e-003	3.482898e+000
3.469792022081474e-003	3.477037e+000
3.470891717949607e-003	3.472406e+000
3.472240733606598e-003	3.468953e+000
3.474167056178144e-003	3.466908e+000
3.476190171338541e-003	3.467980e+000
3.478437281265745e-003	3.473832e+000
3.482080238554583e-003	3.493826e+000
3.486963051054583e-003	3.541005e+000
3.491845863554583e-003	3.617767e+000
3.495417042014953e-003	3.708860e+000
3.498871198799420e-003	3.851357e+000
3.502532247076640e-003	4.077728e+000
3.505524402665561e-003	4.332530e+000
3.508876607942757e-003	4.686672e+000
3.511949971658558e-003	5.048282e+000
3.513447532026337e-003	5.227153e+000
3.514379517972612e-003	5.330445e+000
3.514882372087978e-003	5.378847e+000
3.515212157519587e-003	5.405359e+000
3.515653759560838e-003	5.433755e+000
3.516329930355357e-003	5.466494e+000
3.516978504382720e-003	5.488254e+000
3.517613275483956e-003	5.502053e+000
3.518232596464669e-003	5.510712e+000
3.519093930003367e-003	5.518499e+000
3.520022203006605e-003	5.524003e+000
3.521220091014249e-003	5.528556e+000
3.522630099023093e-003	5.531782e+000
3.524255157754677e-003	5.533206e+000
3.526222985121850e-003	5.531930e+000
3.528490653333465e-003	5.525899e+000
3.532166354121047e-003	5.505500e+000
3.537049166621046e-003	5.457856e+000
3.541931979121046e-003	5.380586e+000
3.545428733520263e-003	5.291028e+000
3.548864268260252e-003	5.149071e+000
3.552525273706470e-003	4.922650e+000
3.555533559854429e-003	4.666365e+000
3.558903681395857e-003	4.310158e+000
